Tick,NestId,Inactive,Assessing,Recruiting,Reversing
37001,2,3,8,3,0
37501,0,152,0,0,0
37501,1,0,2,0,0
37501,2,3,8,3,0
38001,0,151,0,0,0
38001,1,0,1,0,0
38001,2,3,8,3,0
38501,0,151,0,0,0
38501,1,0,1,0,0
38501,2,3,8,3,0
39001,0,151,0,0,0
39001,1,0,1,0,0
39001,2,4,6,5,0
39501,0,151,0,0,0
39501,1,0,1,0,0
39501,2,4,5,6,0
40001,0,151,0,0,0
40001,1,0,1,0,0
40001,2,4,5,6,0
40501,0,151,0,0,0
40501,1,0,1,0,0
40501,2,4,5,6,0
41001,0,150,0,0,0
41001,1,0,1,0,0
41001,2,5,5,6,0
41501,0,148,0,0,0
41501,1,0,1,0,0
41501,2,6,5,6,0
42001,0,148,0,0,0
42001,1,0,1,0,0
42001,2,6,5,6,0
42501,0,147,0,0,0
42501,1,0,2,0,0
42501,2,6,6,6,0
43001,0,146,0,0,0
43001,1,0,2,0,0
43001,2,7,6,6,0
43501,0,146,0,0,0
43501,1,0,2,0,0
43501,2,7,6,6,0
44001,0,146,0,0,0
44001,1,0,2,0,0
44001,2,7,6,6,0
44501,0,146,0,0,0
44501,1,0,3,0,0
44501,2,8,6,6,0
45001,0,145,0,0,0
45001,1,0,3,0,0
45001,2,10,5,7,0
45501,0,145,0,0,0
45501,1,0,3,0,0
45501,2,10,4,8,0
46001,0,145,0,0,0
46001,1,0,3,0,0
46001,2,12,4,8,0
46501,0,145,0,0,0
46501,1,0,3,0,0
46501,2,13,4,8,0
47001,0,145,0,0,0
47001,1,0,3,0,0
47001,2,14,5,8,0
47501,0,144,0,0,0
47501,1,0,4,0,0
47501,2,13,5,8,0
48001,0,144,0,0,0
48001,1,0,4,0,0
48001,2,14,4,9,0
48501,0,143,0,0,0
48501,1,0,4,0,0
48501,2,15,4,9,0
49001,0,143,0,0,0
49001,1,0,4,0,0
49001,2,16,4,9,0
49501,0,142,0,0,0
49501,1,0,4,0,0
49501,2,16,4,9,0
50001,0,141,0,0,0
50001,1,0,4,0,0
50001,2,16,4,9,0
50501,0,141,0,0,0
50501,1,0,4,0,0
50501,2,18,4,9,0
51001,0,140,0,0,0
51001,1,0,4,0,0
51001,2,18,4,9,0
51501,0,139,0,0,0
51501,1,0,4,0,0
51501,2,19,3,10,0
52001,0,139,0,0,0
52001,1,0,4,0,0
52001,2,19,3,10,0
52501,0,137,0,0,0
52501,1,0,4,0,0
52501,2,20,3,10,0
53001,0,136,0,0,0
53001,1,0,4,0,0
53001,2,21,3,10,0
53501,0,136,0,0,0
53501,1,0,4,0,0
53501,2,22,2,11,0
54001,0,134,0,0,0
54001,1,0,4,0,0
54001,2,22,2,11,0
54501,0,134,0,0,0
54501,1,0,4,0,0
54501,2,23,2,11,0
55001,0,134,0,0,0
55001,1,0,4,0,0
55001,2,24,2,11,0
55501,0,134,0,0,0
55501,1,0,4,0,0
55501,2,24,2,11,0
56001,0,132,0,0,0
56001,1,0,4,0,0
56001,2,26,2,11,0
56501,0,131,0,0,0
56501,1,0,4,0,0
56501,2,28,2,11,0
57001,0,130,0,0,0
57001,1,0,4,0,0
57001,2,30,2,11,0
57501,0,130,0,0,0
57501,1,0,4,0,0
57501,2,30,1,12,0
58001,0,129,0,0,0
58001,1,0,4,0,0
58001,2,29,1,12,0
58501,0,127,0,0,0
58501,1,0,3,0,0
58501,2,29,1,12,0
59001,0,126,0,0,0
59001,1,0,3,0,0
59001,2,32,1,12,0
59501,0,125,0,0,0
59501,1,0,2,1,0
59501,2,33,1,12,0
60001,0,125,0,0,0
60001,1,0,4,1,0
60001,2,33,1,12,0
60501,0,125,0,0,0
60501,1,0,4,1,0
60501,2,34,1,12,0
61001,0,124,0,0,0
61001,1,0,4,1,0
61001,2,35,1,12,0
61501,0,123,0,0,0
61501,1,0,4,1,0
61501,2,36,1,12,0
62001,0,123,1,0,0
62001,1,0,5,1,0
62001,2,39,1,11,0
62501,0,122,1,0,0
62501,1,0,5,1,0
62501,2,42,1,11,0
63001,0,122,1,0,0
63001,1,0,5,1,0
63001,2,42,1,11,0
63501,0,121,1,0,0
63501,1,0,5,1,0
63501,2,41,0,12,0
64001,0,120,1,0,0
64001,1,0,5,1,0
64001,2,40,0,12,0
64501,0,118,1,0,0
64501,1,0,4,1,0
64501,2,41,0,12,0
65001,0,116,1,0,0
65001,1,0,4,1,0
65001,2,42,0,12,0
65501,0,115,1,0,0
65501,1,0,3,1,0
65501,2,42,0,12,0
66001,0,114,1,0,0
66001,1,0,3,1,0
66001,2,43,0,12,0
66501,0,113,1,0,0
66501,1,0,3,1,0
66501,2,43,0,12,0
67001,0,112,1,0,0
67001,1,1,3,1,0
67001,2,44,0,12,0
67501,0,112,1,0,0
67501,1,2,3,1,0
67501,2,44,0,12,0
68001,0,112,1,0,0
68001,1,3,3,1,0
68001,2,46,0,12,0
68501,0,111,1,0,0
68501,1,2,3,1,0
68501,2,48,0,12,0
69001,0,110,1,0,0
69001,1,2,3,1,0
69001,2,49,0,12,0
69501,0,110,1,0,0
69501,1,0,3,1,0
69501,2,50,0,12,0
70001,0,108,1,0,0
70001,1,0,3,1,0
70001,2,52,0,12,0
70501,0,108,2,0,0
70501,1,0,3,1,0
70501,2,53,0,11,0
71001,0,106,2,0,0
71001,1,0,3,1,0
71001,2,53,0,11,0
71501,0,105,2,0,0
71501,1,0,3,1,0
71501,2,55,0,11,0
72001,0,102,2,0,0
72001,1,0,3,1,0
72001,2,55,0,11,0
72501,0,102,2,0,0
72501,1,0,3,1,0
72501,2,55,0,11,0
73001,0,101,2,0,0
73001,1,0,3,1,0
73001,2,55,0,11,0
73501,0,101,2,0,0
73501,1,1,4,1,0
73501,2,55,0,11,0
74001,0,100,2,0,0
74001,1,1,3,1,0
74001,2,56,0,11,0
74501,0,99,2,0,0
74501,1,1,3,1,0
74501,2,58,0,11,0
75001,0,99,2,0,0
75001,1,1,1,1,0
75001,2,59,0,11,0
75501,0,99,2,0,0
75501,1,1,1,1,0
75501,2,61,0,11,0
76001,0,98,3,0,0
76001,1,1,1,1,0
76001,2,61,0,10,0
76501,0,96,3,0,0
76501,1,1,1,1,0
76501,2,61,0,10,0
77001,0,95,3,0,0
77001,1,1,1,1,0
77001,2,63,0,10,0
77501,0,95,3,0,0
77501,1,1,1,1,0
77501,2,63,0,10,0
78001,0,92,3,0,0
78001,1,1,1,1,0
78001,2,65,0,10,0
78501,0,92,3,0,0
78501,1,1,1,1,0
78501,2,65,0,10,0
79001,0,92,3,0,0
79001,1,1,1,1,0
79001,2,65,0,10,0
79501,0,90,2,0,0
79501,1,2,1,1,0
79501,2,65,0,11,0
80001,0,89,2,0,0
80001,1,2,1,1,0
80001,2,67,0,11,0
80501,0,88,2,0,0
80501,1,2,2,1,0
80501,2,68,0,11,0
81001,0,88,2,0,0
81001,1,2,2,1,0
81001,2,69,0,11,0
81501,0,88,2,0,0
81501,1,2,2,1,0
81501,2,70,0,11,0
82001,0,86,2,0,0
82001,1,2,2,1,0
82001,2,71,0,11,0
82501,0,85,2,0,0
82501,1,2,2,1,0
82501,2,72,0,11,0
83001,0,84,2,0,0
83001,1,2,2,1,0
83001,2,73,0,11,0
83501,0,83,2,0,0
83501,1,2,2,1,0
83501,2,74,0,11,0
84001,0,81,2,0,0
84001,1,2,2,1,0
84001,2,75,0,11,0
84501,0,81,2,0,0
84501,1,2,2,1,0
84501,2,75,0,11,0
85001,0,80,2,0,0
85001,1,2,2,1,0
85001,2,75,0,11,0
85501,0,79,3,0,0
85501,1,3,2,1,0
85501,2,76,0,10,0
86001,0,79,3,0,0
86001,1,3,2,1,0
86001,2,77,0,10,0
86501,0,78,3,0,0
86501,1,3,2,1,0
86501,2,77,0,10,0
87001,0,78,2,0,0
87001,1,3,2,1,0
87001,2,79,0,11,0
87501,0,77,2,0,0
87501,1,3,2,1,0
87501,2,81,0,11,0
88001,0,75,2,0,0
88001,1,3,2,1,0
88001,2,81,0,11,0
88501,0,74,2,0,0
88501,1,3,2,1,0
88501,2,82,1,11,0
89001,0,74,2,0,0
89001,1,3,2,1,0
89001,2,83,1,11,0
89501,0,74,3,0,0
89501,1,3,2,1,0
89501,2,84,1,10,0
90001,0,73,3,0,0
90001,1,3,2,1,0
90001,2,84,1,10,0
90501,0,72,3,0,0
90501,1,3,2,1,0
90501,2,84,1,10,0
91001,0,71,3,0,0
91001,1,4,2,1,0
91001,2,85,1,10,0
91501,0,71,3,0,0
91501,1,4,1,2,0
91501,2,87,1,10,0
92001,0,70,3,0,0
92001,1,4,1,2,0
92001,2,89,1,10,0
92501,0,70,2,0,0
92501,1,5,1,2,0
92501,2,89,1,11,0
93001,0,69,2,0,0
93001,1,5,1,2,0
93001,2,89,1,11,0
93501,0,67,2,0,0
93501,1,5,1,2,0
93501,2,90,1,11,0
94001,0,67,2,0,0
94001,1,4,1,1,0
94001,2,91,1,11,0
94501,0,66,2,0,0
94501,1,4,1,1,0
94501,2,92,1,10,0
95001,0,66,2,0,0
95001,1,4,1,1,0
95001,2,92,1,10,0
95501,0,65,2,0,0
95501,1,4,1,1,0
95501,2,93,1,10,0
96001,0,64,2,0,0
96001,1,4,1,1,0
96001,2,93,1,10,0
96501,0,64,2,0,0
96501,1,4,1,1,0
96501,2,94,1,10,0
97001,0,63,2,0,0
97001,1,4,1,1,0
97001,2,96,1,10,0
97501,0,63,2,0,0
97501,1,5,0,1,0
97501,2,98,1,10,0
98001,0,62,2,0,0
98001,1,5,0,1,0
98001,2,97,1,10,0
98501,0,60,2,0,0
98501,1,5,0,1,0
98501,2,97,1,10,0
99001,0,60,2,0,0
99001,1,5,0,1,0
99001,2,98,1,10,0
99501,0,58,2,0,0
99501,1,4,1,1,0
99501,2,99,1,10,0
100001,0,56,2,0,0
100001,1,4,1,1,0
100001,2,99,1,10,0
100501,0,56,2,0,0
100501,1,4,1,1,0
100501,2,100,1,10,0
101001,0,56,2,0,0
101001,1,4,1,1,0
101001,2,100,1,10,0
101501,0,54,2,0,0
101501,1,4,1,1,0
101501,2,101,1,10,0
102001,0,54,2,0,0
102001,1,4,1,1,0
102001,2,103,1,10,0
102501,0,54,2,0,0
102501,1,4,1,1,0
102501,2,103,1,10,0
103001,0,54,2,0,0
103001,1,4,1,1,0
103001,2,105,1,10,0
103501,0,54,1,0,0
103501,1,5,1,1,0
103501,2,107,1,11,0
104001,0,52,1,0,0
104001,1,5,1,1,0
104001,2,107,1,11,0
104501,0,50,1,0,0
104501,1,5,1,1,0
104501,2,107,1,11,0
105001,0,50,1,0,0
105001,1,5,1,1,0
105001,2,109,2,11,0
105501,0,46,2,0,0
105501,1,5,1,1,0
105501,2,109,1,10,0
106001,0,46,2,0,0
106001,1,5,1,1,0
106001,2,109,1,10,0
106501,0,46,1,0,0
106501,1,5,1,1,0
106501,2,110,1,11,0
107001,0,46,1,0,0
107001,1,5,1,1,0
107001,2,111,1,11,0
107501,0,46,1,0,0
107501,1,5,1,1,0
107501,2,111,1,11,0
108001,0,45,1,0,0
108001,1,5,1,1,0
108001,2,113,1,11,0
108501,0,45,1,0,0
108501,1,5,2,1,0
108501,2,114,1,11,0
109001,0,45,1,0,0
109001,1,6,2,1,0
109001,2,116,1,11,0
109501,0,44,1,0,0
109501,1,6,2,1,0
109501,2,115,1,11,0
110001,0,44,1,0,0
110001,1,6,2,1,0
110001,2,115,1,11,0
110501,0,43,1,0,0
110501,1,6,2,1,0
110501,2,116,1,11,0
111001,0,42,1,0,0
111001,1,6,2,1,0
111001,2,116,1,11,0
111501,0,40,1,0,0
111501,1,6,2,1,0
111501,2,117,1,11,0
112001,0,40,1,0,0
112001,1,6,2,1,0
112001,2,117,1,11,0
112501,0,40,2,0,0
112501,1,6,2,1,0
112501,2,118,1,10,0
113001,0,40,2,0,0
113001,1,6,2,1,0
113001,2,119,1,10,0
113501,0,40,2,0,0
113501,1,6,2,1,0
113501,2,120,1,10,0
114001,0,40,2,0,0
114001,1,6,2,1,0
114001,2,119,1,10,0
114501,0,39,2,0,0
114501,1,6,1,1,0
114501,2,121,1,10,0
115001,0,38,2,0,0
115001,1,7,1,1,0
115001,2,122,1,10,0
115501,0,38,2,0,0
115501,1,7,1,1,0
115501,2,122,1,10,0
116001,0,37,2,0,0
116001,1,7,1,1,0
116001,2,122,1,10,0
116501,0,36,2,0,0
116501,1,7,1,1,0
116501,2,122,1,10,0
117001,0,35,2,0,0
117001,1,7,1,1,0
117001,2,122,1,10,0
117501,0,34,2,0,0
117501,1,7,1,1,0
117501,2,122,1,10,0
118001,0,34,2,0,0
118001,1,7,1,1,0
118001,2,123,1,10,0
118501,0,33,2,0,0
118501,1,7,1,1,0
118501,2,124,1,10,0
119001,0,33,2,0,0
119001,1,7,1,1,0
119001,2,124,1,10,0
119501,0,33,2,0,0
119501,1,7,1,1,0
119501,2,124,1,10,0
120001,0,33,2,0,0
120001,1,7,1,1,0
120001,2,126,1,10,0
120501,0,32,2,0,0
120501,1,7,1,1,0
120501,2,127,1,10,0
121001,0,30,2,0,0
121001,1,7,1,1,0
121001,2,127,1,10,0
121501,0,28,1,0,0
121501,1,7,1,1,0
121501,2,129,0,12,0
122001,0,27,2,0,0
122001,1,7,1,1,0
122001,2,128,0,11,0
122501,0,27,2,0,0
122501,1,7,1,1,0
122501,2,128,0,11,0
123001,0,27,2,0,0
123001,1,7,1,1,0
123001,2,128,0,11,0
123501,0,27,3,0,0
123501,1,7,1,1,0
123501,2,128,0,10,0
124001,0,26,3,0,0
124001,1,7,1,1,0
124001,2,130,0,10,0
124501,0,26,3,0,0
124501,1,7,1,1,0
124501,2,131,0,10,0
125001,0,26,3,0,0
125001,1,7,1,1,0
125001,2,132,0,10,0
125501,0,26,3,0,0
125501,1,7,1,1,0
125501,2,133,0,10,0
126001,0,26,3,0,0
126001,1,8,1,1,0
126001,2,133,0,10,0
126501,0,24,2,0,0
126501,1,8,1,1,0
126501,2,133,0,11,0
127001,0,22,3,0,0
127001,1,8,1,1,0
127001,2,133,0,10,0
127501,0,22,4,0,0
127501,1,7,1,1,0
127501,2,134,0,9,0
128001,0,21,4,0,0
128001,1,7,1,1,0
128001,2,134,0,9,0
128501,0,21,4,0,0
128501,1,7,1,1,0
128501,2,134,0,9,0
129001,0,21,4,0,0
129001,1,7,2,1,0
129001,2,134,0,9,0
129501,0,20,4,0,0
129501,1,8,2,1,0
129501,2,134,0,9,0
130001,0,20,4,0,0
130001,1,8,2,1,0
130001,2,136,0,9,0
130501,0,20,4,0,0
130501,1,7,2,1,0
130501,2,137,0,9,0
131001,0,20,5,0,0
131001,1,7,3,1,0
131001,2,138,0,8,0
131501,0,20,5,0,0
131501,1,7,3,1,0
131501,2,139,0,8,0
132001,0,17,5,0,0
132001,1,7,3,1,0
132001,2,139,0,8,0
132501,0,17,5,0,0
132501,1,7,3,1,0
132501,2,139,0,8,0
133001,0,15,5,0,0
133001,1,7,3,1,0
133001,2,140,0,8,0
133501,0,15,5,0,0
133501,1,7,3,1,0
133501,2,140,0,8,0
134001,0,14,5,0,0
134001,1,7,3,1,0
134001,2,141,0,8,0
134501,0,14,5,0,0
134501,1,7,3,1,0
134501,2,141,0,8,0
135001,0,14,5,0,0
135001,1,7,4,1,0
135001,2,141,0,8,0
135501,0,14,5,0,0
135501,1,8,4,1,0
135501,2,143,0,8,0
136001,0,14,4,0,0
136001,1,8,4,1,0
136001,2,143,0,9,0
136501,0,13,4,0,0
136501,1,8,4,1,0
136501,2,145,0,9,0
137001,0,13,4,0,0
137001,1,8,4,1,0
137001,2,145,0,9,0
137501,0,12,4,0,0
137501,1,8,4,1,0
137501,2,146,0,9,0
138001,0,11,3,0,0
138001,1,8,4,1,0
138001,2,146,0,10,0
138501,0,9,3,0,0
138501,1,8,4,1,0
138501,2,146,0,10,0
139001,0,8,3,0,0
139001,1,8,4,1,0
139001,2,146,0,10,0
139501,0,7,3,0,0
139501,1,8,4,1,0
139501,2,146,0,10,0
140001,0,6,3,0,0
140001,1,8,4,1,0
140001,2,147,0,10,0
140501,0,6,3,0,0
140501,1,8,4,1,0
140501,2,147,0,10,0
141001,0,6,3,0,0
141001,1,8,4,1,0
141001,2,148,1,10,0
141501,0,6,3,0,0
141501,1,9,4,1,0
141501,2,148,1,10,0
142001,0,5,2,0,0
142001,1,9,4,1,0
142001,2,150,1,11,0
142501,0,5,2,0,0
142501,1,9,4,1,0
142501,2,151,1,11,0
143001,0,4,2,0,0
143001,1,9,4,1,0
143001,2,152,1,11,0
143501,0,4,2,0,0
143501,1,9,4,1,0
143501,2,152,1,11,0
144001,0,4,2,0,0
144001,1,9,4,1,0
144001,2,153,1,11,0
144501,0,2,1,0,0
144501,1,9,2,1,0
144501,2,153,1,11,0
145001,0,1,1,0,0
145001,1,9,3,1,0
145001,2,153,1,11,0
145501,0,1,1,0,0
145501,1,9,3,1,0
145501,2,153,1,11,0
146001,0,1,0,0,0
146001,1,9,3,1,0
146001,2,153,1,12,0
